time,step,loss/stage2_view_loss
1752682952.9165823,38,0.007666724734008312
1752682952.916723,38,0.007268289104104042
1752682952.9168687,38,0.008388749323785305
1752682952.9169807,78,0.007985717616975307
1752682952.91709,78,0.008181881159543991
1752682952.9171932,78,0.008245620876550674
1752682952.9172962,118,0.00798278022557497
1752682952.9173975,118,0.007601067423820496
1752682952.9174976,118,0.008458922617137432
1752682952.9175968,158,0.008559358306229115
1752682952.9176958,158,0.008126838132739067
1752682952.917835,158,0.008587256073951721
1752682952.9179418,198,0.00836621131747961
1752682952.9180474,198,0.009199121035635471
1752682952.9181485,198,0.008985036052763462
1752682952.9182613,238,0.008385512977838516
1752682952.9183667,238,0.010059579275548458
1752682952.9186518,238,0.010526531375944614
1752682952.9189909,278,0.008676398545503616
1752682952.9190104,278,0.010330465622246265
1752682952.9190247,278,0.01140033919364214
1752682952.919038,318,0.009114066138863564
1752682952.9190507,318,0.011068048886954784
1752682952.9190633,318,0.01126240473240614
1752682952.91931,358,0.009862123988568783
1752682952.919326,358,0.011580551974475384
1752682952.9194596,358,0.011929063126444817
1752682952.919606,398,0.012046598829329014
1752682952.9196205,398,0.01069832593202591
1752682952.919772,398,0.01152714528143406
1752682952.9199874,438,0.011137446388602257
1752682952.9200046,438,0.01084685605019331
1752682952.9200182,438,0.011637214571237564
1752682952.92053,478,0.011705656535923481
1752682952.9205472,478,0.010984428226947784
1752682952.9205606,478,0.01256715226918459
1752682952.9209802,518,0.011756961233913898
1752682952.9209962,518,0.012702250853180885
1752682952.9210093,518,0.012787966057658195
1752682952.921022,558,0.012312473729252815
1752682952.9210348,558,0.011818519793450832
1752682952.9210465,558,0.01343694981187582
1752682952.921059,598,0.01276809349656105
1752682952.921071,598,0.011627500876784325
1752682952.9216213,598,0.01361821312457323
1752682952.9216383,638,0.011996500194072723
1752682952.9216516,638,0.012597599066793919
1752682952.9216645,638,0.012914418242871761
1752682952.9216776,678,0.012155012227594852
1752682952.9216897,678,0.01160644181072712
1752682952.9217021,678,0.013375688344240189
1752682952.9217138,718,0.0127086341381073
1752682952.9217262,718,0.013431847095489502
1752682952.921823,758,0.012477358803153038
1752682952.922231,758,0.013050842098891735
1752682952.9222462,798,0.013037681579589844
1752682952.922266,798,0.013169805519282818
1752682952.9222865,838,0.013330735266208649
1752682952.9222994,838,0.013484650291502476
1752682952.9223986,878,0.013337204232811928
1752682952.9227436,878,0.013330765999853611
1752682952.9227588,918,0.013015937060117722
1752682952.9227712,918,0.01206685695797205
